Id,States/UTs,JUNCTION,VEHICLE AGE,HUMAN AGE AND SEX,PERSON,AREA,TYPE OF PLACE,LOAD OF VEHICLE,TRAFFIC RULES VIOLATION,WEATHER,VEHICLE TYPE AND SEX,TYPE OF ROAD,LICENSE,TIME,ACCIDENT OCCURRENCE
117,Haryana,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),YES
118,Haryana,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),NO
119,Haryana,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),NO
120,Haryana,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),NO
121,Haryana,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,YES
122,Haryana,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),NO
123,Haryana,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),NO
124,Haryana,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),NO
125,Haryana,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),NO
126,Haryana,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
127,Haryana,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),NO
128,Haryana,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),YES
129,Himachal Pradesh,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),NO
130,Himachal Pradesh,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),NO
131,Himachal Pradesh,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
132,Himachal Pradesh,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),NO
133,Himachal Pradesh,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),NO
134,Himachal Pradesh,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),NO
135,Himachal Pradesh,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),NO
136,Himachal Pradesh,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),NO
137,Himachal Pradesh,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,NO
138,Himachal Pradesh,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),NO
139,Himachal Pradesh,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),NO
140,Himachal Pradesh,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),NO
141,Himachal Pradesh,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),NO
142,Himachal Pradesh,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
143,Himachal Pradesh,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),NO
144,Himachal Pradesh,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),NO
145,Jammu & Kashmir,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),NO
146,Jammu & Kashmir,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),NO
147,Jammu & Kashmir,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
148,Jammu & Kashmir,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),NO
149,Jammu & Kashmir,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),NO
150,Jammu & Kashmir,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),NO
151,Jammu & Kashmir,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),NO
152,Jammu & Kashmir,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),NO
153,Jammu & Kashmir,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,NO
154,Jammu & Kashmir,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),NO
155,Jammu & Kashmir,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),NO
156,Jammu & Kashmir,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),NO
157,Jammu & Kashmir,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),NO
158,Jammu & Kashmir,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
159,Jammu & Kashmir,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),NO
160,Jammu & Kashmir,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),NO
161,Jharkhand,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),NO
162,Jharkhand,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),NO
163,Jharkhand,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),NO
164,Jharkhand,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),NO
165,Jharkhand,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),NO
166,Jharkhand,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),NO
167,Jharkhand,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),NO
168,Jharkhand,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),NO
169,Jharkhand,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,NO
170,Jharkhand,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),NO
171,Jharkhand,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),NO
172,Jharkhand,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),NO
173,Jharkhand,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),NO
174,Jharkhand,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
175,Jharkhand,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),NO
176,Jharkhand,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),NO
177,Karnataka,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),YES
178,Karnataka,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),YES
179,Karnataka,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),YES
180,Karnataka,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),YES
181,Karnataka,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),YES
182,Karnataka,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),YES
183,Karnataka,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),YES
184,Karnataka,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),YES
185,Karnataka,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,YES
186,Karnataka,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),YES
187,Karnataka,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),YES
188,Karnataka,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),YES
189,Karnataka,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),YES
190,Karnataka,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),YES
191,Karnataka,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),YES
192,Karnataka,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),YES
193,Kerala,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),YES
194,Kerala,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),YES
195,Kerala,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),YES
196,Kerala,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),YES
197,Kerala,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),NO
198,Kerala,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),YES
199,Kerala,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),YES
200,Kerala,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),YES
201,Kerala,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,YES
202,Kerala,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),YES
203,Kerala,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),YES
204,Kerala,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),YES
205,Kerala,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),YES
206,Kerala,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),NO
207,Kerala,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),YES
208,Kerala,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),YES
209,Madhya Pradesh,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),YES
210,Madhya Pradesh,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),YES
211,Madhya Pradesh,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),YES
212,Madhya Pradesh,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),YES
213,Madhya Pradesh,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),YES
214,Madhya Pradesh,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),YES
215,Madhya Pradesh,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),YES
216,Madhya Pradesh,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),YES
217,Madhya Pradesh,Four arm Junction,> 15 Years,45-60 Yrs- Male,Drivers,Residential Area,Urban,Others,Jumping Red Light,Hail/Sleet,Cars & taxies Vans & LMV - Male,Straight Road,Without Licence,Unknown Time,YES
218,Madhya Pradesh,Staggered Junction,Age not known,45-60 Yrs- Female,Passengers,Institutional Area,Rural,Normally Loaded,Use of Mobile Phone,Others,Cars & taxies Vans & LMV - Female,Curved Road,License Valid Permanent,06-0900hrs - (Day),YES
219,Madhya Pradesh,Round about Junction,Less than 5 years,60 Yrs above- Male,Drivers,Market/Commercial Area,Urban,Overloaded/Hangin,Over-Speeding,Sunny/Clear,Trucks/Lorries - Male,Bridge,Learner's Licence,09-1200hrs - (Day),YES
220,Madhya Pradesh,Others,5.1 - 10 Years,60 Yrs above -Female,Passengers,Open Area,Rural,Others,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Trucks/Lorries - Female,Culvert,Without Licence,12-1500hrs - (Day),YES
221,Madhya Pradesh,Y-Junction,10.1 - 15 Years,Age not known - Male,Drivers,Residential Area,Urban,Normally Loaded,Driving on Wrong Side,Foggy & Misty,Buses - Male,Pot Holes,License Valid Permanent,15-1800hrs - (Day),YES
222,Madhya Pradesh,Four arm Junction,> 15 Years,Age not known - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Jumping Red Light,Hail/Sleet,Buses - Female,Steep Grade,Learner's Licence,18-2100hrs - (Night),YES
223,Madhya Pradesh,Staggered Junction,Age not known,Age not known - Female,Passengers,Market/Commercial Area,Urban,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Male,Ongoing Road Works/Under Construction,Without Licence,21-2400hrs - (Night),YES
224,Madhya Pradesh,Staggered Junction,Age not known,Age not known - Female,Passengers,Open Area,Rural,Others,Use of Mobile Phone,Others,Other Motor Vehicles - Female,Others,Without Licence,00-300hrs - (Night),YES
225,Maharashtra,T-Junction,Less than 5 years,18 Yrs -Male,Drivers,Residential Area,Urban,Normally Loaded,Over-Speeding,Sunny/Clear,Pedestrian - Male,Straight Road,License Valid Permanent,06-0900hrs - (Day),YES
226,Maharashtra,Y-Junction,5.1 - 10 Years,18 Yrs - Female,Passengers,Institutional Area,Rural,Overloaded/Hangin,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Pedestrian - Female,Curved Road,Learner's Licence,09-1200hrs - (Day),YES
227,Maharashtra,Four arm Junction,10.1 - 15 Years,18-25 Yrs - Male,Drivers,Market/Commercial Area,Urban,Others,Driving on Wrong Side,Foggy & Misty,Bycycles - Male,Bridge,Without Licence,12-1500hrs - (Day),YES
228,Maharashtra,Staggered Junction,> 15 Years,18-25 Yrs - Female,Passengers,Open Area,Rural,Normally Loaded,Jumping Red Light,Hail/Sleet,Bycycles - Female,Culvert,License Valid Permanent,15-1800hrs - (Day),YES
229,Maharashtra,Round about Junction,Age not known,25-35 Yrs- Male,Drivers,Residential Area,Urban,Overloaded/Hangin,Use of Mobile Phone,Others,Two Wheelers - Male,Pot Holes,Learner's Licence,18-2100hrs - (Night),YES
230,Maharashtra,Others,Less than 5 years,25-35 Yrs - Female,Passengers,Institutional Area,Rural,Others,Over-Speeding,Sunny/Clear,Two Wheelers - Female,Steep Grade,Without Licence,21-2400hrs - (Night),YES
231,Maharashtra,T-Junction,5.1 - 10 Years,35-40 Yrs- Male,Drivers,Market/Commercial Area,Urban,Normally Loaded,Drunken Driving/Consumption of Alcohol & Drug,Rainy,Auto Rickshaws - Male,Ongoing Road Works/Under Construction,License Valid Permanent,00-300hrs - (Night),YES
232,Maharashtra,Y-Junction,10.1 - 15 Years,35-40 Yrs - Female,Passengers,Open Area,Rural,Overloaded/Hangin,Driving on Wrong Side,Foggy & Misty,Auto Rickshaws - Female,Others,Learner's Licence,03-600hrs - (Night),YES
